Cazymes,Clades,Mean,SD,SE
GHs,Capnocytophaga,20.2319942,11.27884895,5.044054592
PLs,Capnocytophaga,1.14315349,0.46306925,0.207090864
CEs,Capnocytophaga,9.308860944,4.052806336,1.812470093
GTs,Capnocytophaga,9.935070538,3.184436103,1.424123119
AAs,Capnocytophaga,1.686489308,0.563237029,0.251887257
CBMs,Capnocytophaga,6.007537825,1.261523503,0.564170461
GHs,Flavobacterium,12.26346424,9.117959024,4.077675239
PLs,Flavobacterium,0.818550122,0.748981732,0.334954813
CEs,Flavobacterium,6.835302446,1.651433531,0.738543527
GTs,Flavobacterium,15.71994513,2.886441688,1.290855966
AAs,Flavobacterium,1.218016445,0.273672315,0.12238998
CBMs,Flavobacterium,7.7148887,1.084613965,0.485054111
GHs,Marine,21.19268103,10.0828491,1.574676475
PLs,Marine,2.289921775,1.588691029,0.248111854
CEs,Marine,8.397407399,3.599565194,0.562157637
GTs,Marine,13.87116994,4.524311668,0.706578773
AAs,Marine,1.716783267,1.176107535,0.183677138
CBMs,Marine,8.835380353,2.59701559,0.405585694
GHs,Tenacibaculum-Polaribacter,19.10059426,11.17213118,4.996328954
PLs,Tenacibaculum-Polaribacter,2.980569633,1.952543997,0.873204221
CEs,Tenacibaculum-Polaribacter,7.724738973,3.084929979,1.379622628
GTs,Tenacibaculum-Polaribacter,11.65081304,3.104760689,1.388491191
AAs,Tenacibaculum-Polaribacter,1.767282224,0.836610434,0.37414356
CBMs,Tenacibaculum-Polaribacter,8.491467936,2.270077301,1.015209432
