Cazymes,Taxa,Mean,SD,SE
GHs,Flavobacteriaceae,20.12286046,10.24098605,1.380894277
PLs,Flavobacteriaceae,2.141860737,1.580767111,0.213150594
CEs,Flavobacteriaceae,8.379142738,3.439839001,0.463827796
GTs,Flavobacteriaceae,13.60877553,4.352936101,0.586949784
AAs,Flavobacteriaceae,1.671935679,1.051892621,0.141837172
CBMs,Flavobacteriaceae,8.526237551,2.486660954,0.335301295
GHs,Cyanobacteria,5.705058988,1.811026446,0.809915648
PLs,Cyanobacteria,0.185324573,0.212040341,0.094827323
CEs,Cyanobacteria,3.367208465,1.004957392,0.449430609
GTs,Cyanobacteria,16.64418663,3.100120485,1.386416028
AAs,Cyanobacteria,1.696385866,1.191279332,0.532756313
CBMs,Cyanobacteria,2.760558252,1.250195872,0.559104591
GHs,Proteobacteria,6.599372491,3.427101599,1.532646428
PLs,Proteobacteria,1.645960503,1.179054944,0.527289401
CEs,Proteobacteria,5.570350775,1.804714351,0.807092794
GTs,Proteobacteria,9.020574225,5.071694159,2.26813058
AAs,Proteobacteria,2.405429605,0.359442117,0.160747401
CBMs,Proteobacteria,3.011976037,1.963204715,0.877971839
