Genome_name,Clade
Algibacter_wandonensis_CECT_8301,Marine
Arenibacter_echinorum_DSM_23522,Marine
Bizionia_echini_DSM_23925,Marine
Cellulophaga_fucicola_DSM_24786,Marine
Cellulophaga_lytica_LIM_21_DSM_7489,Marine
Cellulophaga_tyrosinoxydans_DSM_21164,Marine
Dokdonia_pacifica_DSM_25597,Marine
Dokdonia_sp_PRO95,Marine
Eudoraea_adriatica_DSM_19308,Marine
Eudoraea_chungangensis_Aa_C5,Marine
Eudoraea_chungangensis_Aa_D4,Marine
Flagellimonas_sp_Aa_F7,Marine
Flavobacterium_branchiophilum_FL_15,Flavobacterium
Flavobacterium_columnare_ATCC_49512,Flavobacterium
Flavobacterium_indicum_GPTSA100_9,Flavobacterium
Flavobacterium_johnsoniae_UW101_ATCC_17061,Flavobacterium
Flavobacterium_psychrophilum_JIP02_86,Flavobacterium
Formosa_agariphila_KMM_3901,Marine
Formosa_spongicola_DSM_22637,Marine
Gaetbulibacter_saemankumensis_DSM_17032,Marine
Galbibacter_marinus_ck_I2_15,Capnocytophaga
Imtechella_halotolerans_K1,Capnocytophaga
Joostella_marina_DSM_19592,Capnocytophaga
Kordia_algicida_OT_1,Marine
Kordia_periserrulae_DSM_25731,Marine
Kriegella_aquimaris_DSM_19886,Marine
Lacinutrix_sp_DN105,Marine
Lacinutrix_sp_DN112,Marine
Lacinutrix_sp_Hel_I_90,Marine
Lacinutrix_venerupis_DOK2_8,Marine
Lutibacter_maritimus_DSM_24450,Tenacibaculum-Polaribacter
Maribacter_arcticus_DSM_23546,Marine
Maribacter_polysiphoniae_DSM_23514,Marine
Maribacter_spongiicola_DSM_25233,Marine
Maribacter_vaceletii_DSM_25230,Marine
Muricauda_antarctica_DSM_26351,Marine
Muricauda_pacifica_DSM_25027,Marine
Muriicola_jejuensis_DSM_21206,Marine
Nonlabens_spongiae_JCM_13191,Marine
Nonlabens_ulvanivorans_DSM_22727,Marine
Polaribacter_haliotis_RA4_7,Tenacibaculum-Polaribacter
Polaribacter_sp_MED152,Tenacibaculum-Polaribacter
Psychroserpens_sp_Hel_I_66,Marine
Pustulibacterium_marinum_CGMCC_1_12333,Capnocytophaga
Robiginitalea_myxolifaciens_DSM_21019,Marine
Sinomicrobium_oceani_CGMCC_1_12145,Capnocytophaga
Spongiimicrobium_salis_DN50,Marine
Spongiimicrobium_salis_Da_B9,Marine
Tamlana_sedimentorum_JCM_19808,Marine
Tenacibaculum_adriaticum_DSM_18961,Tenacibaculum-Polaribacter
Tenacibaculum_mesophilum_DSM_13764,Tenacibaculum-Polaribacter
Winogradskyella_arenosi_CECT_7958,Marine
Winogradskyella_eximia_CECT_7946,Marine
Winogradskyella_jejuensis_DSM_25330,Marine
Winogradskyella_sp_J14_2,Marine
Zobellia_galactanivorans_DsijT,Marine
