Genome_name,Groups
Algibacter_wandonensis_CECT_8301,Flavobacteria
Alteromonas_macleodii_ATCC_27126,Proteobacteria
Anabaena_sp_PCC_7108,Cyanobacteria
Arenibacter_echinorum_DSM_23522,Flavobacteria
Bizionia_echini_DSM_23925,Flavobacteria
Candidatus_Pelagibacter_ubique_SAR11_HTCC1062,Proteobacteria
Cellulophaga_fucicola_DSM_24786,Flavobacteria
Cellulophaga_lytica_LIM_21_DSM_7489,Flavobacteria
Cellulophaga_tyrosinoxydans_DSM_21164,Flavobacteria
Crocosphaera_watsonii_WH_8501,Cyanobacteria
Dokdonia_pacifica_DSM_25597,Flavobacteria
Dokdonia_sp_PRO95,Flavobacteria
Eudoraea_adriatica_DSM_19308,Flavobacteria
Eudoraea_chungangensis_Aa_C5,Flavobacteria
Eudoraea_chungangensis_Aa_D4,Flavobacteria
Flagellimonas_sp_Aa_F7,Flavobacteria
Flavobacterium_branchiophilum_FL_15,Flavobacteria
Flavobacterium_columnare_ATCC_49512,Flavobacteria
Flavobacterium_indicum_GPTSA100_9,Flavobacteria
Flavobacterium_johnsoniae_UW101_ATCC_17061,Flavobacteria
Flavobacterium_psychrophilum_JIP02_86,Flavobacteria
Formosa_agariphila_KMM_3901,Flavobacteria
Formosa_spongicola_DSM_22637,Flavobacteria
Gaetbulibacter_saemankumensis_DSM_17032,Flavobacteria
Galbibacter_marinus_ck_I2_15,Flavobacteria
Idiomarina_loihiensis_GSL_199,Proteobacteria
Imtechella_halotolerans_K1,Flavobacteria
Joostella_marina_DSM_19592,Flavobacteria
Kordia_algicida_OT_1,Flavobacteria
Kordia_periserrulae_DSM_25731,Flavobacteria
Kriegella_aquimaris_DSM_19886,Flavobacteria
Lacinutrix_sp_DN105,Flavobacteria
Lacinutrix_sp_DN112,Flavobacteria
Lacinutrix_sp_Hel_I_90,Flavobacteria
Lacinutrix_venerupis_DOK2_8,Flavobacteria
Lutibacter_maritimus_DSM_24450,Flavobacteria
Maribacter_arcticus_DSM_23546,Flavobacteria
Maribacter_polysiphoniae_DSM_23514,Flavobacteria
Maribacter_spongiicola_DSM_25233,Flavobacteria
Maribacter_vaceletii_DSM_25230,Flavobacteria
Muricauda_antarctica_DSM_26351,Flavobacteria
Muricauda_pacifica_DSM_25027,Flavobacteria
Muriicola_jejuensis_DSM_21206,Flavobacteria
Nonlabens_spongiae_JCM_13191,Flavobacteria
Nonlabens_ulvanivorans_DSM_22727,Flavobacteria
Polaribacter_haliotis_RA4_7,Flavobacteria
Polaribacter_sp_MED152,Flavobacteria
Prochlorococcus_marinus_MIT9515,Cyanobacteria
Psychroserpens_sp_Hel_I_66,Flavobacteria
Pustulibacterium_marinum_CGMCC_1_12333,Flavobacteria
Robiginitalea_myxolifaciens_DSM_21019,Flavobacteria
Roseobacter_litoralis_Och_149,Proteobacteria
Ruegeria_pomeroyi_DSS_3,Proteobacteria
Sinomicrobium_oceani_CGMCC_1_12145,Flavobacteria
Spongiimicrobium_salis_DN50,Flavobacteria
Spongiimicrobium_salis_Da_B9,Flavobacteria
Synechococcus_sp_WH_8016,Cyanobacteria
Tamlana_sedimentorum_JCM_19808,Flavobacteria
Tenacibaculum_adriaticum_DSM_18961,Flavobacteria
Tenacibaculum_mesophilum_DSM_13764,Flavobacteria
Trichodesmium_erythraeum_IMS101,Cyanobacteria
Winogradskyella_arenosi_CECT_7958,Flavobacteria
Winogradskyella_eximia_CECT_7946,Flavobacteria
Winogradskyella_jejuensis_DSM_25330,Flavobacteria
Winogradskyella_sp_J14_2,Flavobacteria
Zobellia_galactanivorans_DsijT,Flavobacteria
