Strain,Clade
A.wandonensis,Marine
A.echinorum,Marine
Aa_C5,Marine
Aa_D4,Marine
Aa_F7,Marine
B.echini,Marine
C.fucicola,Marine
C.lytica,Marine
C.tyrosinoxydans,Marine
Dokdonia sp.,Marine
D.pacifica,Marine
Da_B9,Marine
DN50,Marine
DN105,Marine
DN112,Marine
E.adriatica,Marine
F.agariphila,Marine
F.spongicola,Marine
G.saemankumensis,Marine
K.algicida,Marine
K.aquimaris,Marine
K.periserrulae,Marine
L.venerupis,Marine
Lacinutrix sp.,Marine
M.antarctica,Marine
M.arcticus,Marine
M.jejuensis,Marine
M.pacifica,Marine
M.polysiphoniae,Marine
M.spongiicola,Marine
M.vaceletii,Marine
N.spongiae,Marine
N.ulvanivorans,Marine
Psychroserpens sp.,Marine
R.myxolifaciens,Marine
T.sedimentorum,Marine
W.arenosi,Marine
W.eximia,Marine
W.jejuensis,Marine
Winogradskyealla sp.,Marine
Z.galactanivorans,Marine
J.marina,Capnocytophaga
G.marinus,Capnocytophaga
I.halotolerans,Capnocytophaga
S.oceani,Capnocytophaga
P.marinum,Capnocytophaga
F.johnsoniae,Flavobacterium
F.branchiophilum,Flavobacterium
F.psychrophilum,Flavobacterium
F.columnare,Flavobacterium
F.indicum,Flavobacterium
L.maritimus,Tenacibaculum-Polaribacter
T.adriaticum,Tenacibaculum-Polaribacter
T.mesophilum,Tenacibaculum-Polaribacter
P.haliotis,Tenacibaculum-Polaribacter
Polaribacter sp.,Tenacibaculum-Polaribacter
Anabaena sp.,Cyanobacteria
C.watsonii,Cyanobacteria
P.marinus,Cyanobacteria
Synechococcus sp.,Cyanobacteria
T.erythraeum,Cyanobacteria
A.macleodii,Proteobacteria
P. ubique,Proteobacteria
I.loihiensis,Proteobacteria
R.litoralis,Proteobacteria
R.pomeroyi,Proteobacteria
P.gingivalis,Bacteroidetes
