Func_id,Func_name,Algibacter_wandonensis_CECT_8301,Alteromonas_macleodii_ATCC_27126,Anabaena_sp_PCC_7108,Arenibacter_echinorum_DSM_23522,Bizionia_echini_DSM_23925,Candidatus_Pelagibacter_ubique_SAR11_HTCC1062,Cellulophaga_fucicola_DSM_24786,Cellulophaga_lytica_LIM_21_DSM_7489,Cellulophaga_tyrosinoxydans_DSM_21164,Crocosphaera_watsonii_WH_8501,Dokdonia_pacifica_DSM_25597,Dokdonia_sp_PRO95,Eudoraea_adriatica_DSM_19308,Eudoraea_chungangensis_Aa_C5,Eudoraea_chungangensis_Aa_D4,Flagellimonas_sp_Aa_F7,Flavobacterium_branchiophilum_FL_15,Flavobacterium_columnare_ATCC_49512,Flavobacterium_indicum_GPTSA100_9,Flavobacterium_johnsoniae_UW101_ATCC_17061,Flavobacterium_psychrophilum_JIP02_86,Formosa_agariphila_KMM_3901,Formosa_spongicola_DSM_22637,Gaetbulibacter_saemankumensis_DSM_17032,Galbibacter_marinus_ck_I2_15,Idiomarina_loihiensis_GSL_199,Imtechella_halotolerans_K1,Joostella_marina_DSM_19592,Kordia_algicida_OT_1,Kordia_periserrulae_DSM_25731,Kriegella_aquimaris_DSM_19886,Lacinutrix_sp_DN105,Lacinutrix_sp_DN112,Lacinutrix_sp_Hel_I_90,Lacinutrix_venerupis_DOK2_8,Lutibacter_maritimus_DSM_24450,Maribacter_arcticus_DSM_23546,Maribacter_polysiphoniae_DSM_23514,Maribacter_spongiicola_DSM_25233,Maribacter_vaceletii_DSM_25230,Muricauda_antarctica_DSM_26351,Muricauda_pacifica_DSM_25027,Muriicola_jejuensis_DSM_21206,Nonlabens_spongiae_JCM_13191,Nonlabens_ulvanivorans_DSM_22727,Polaribacter_haliotis_RA4_7,Polaribacter_sp_MED152,Prochlorococcus_marinus_MIT9515,Psychroserpens_sp_Hel_I_66,Pustulibacterium_marinum_CGMCC_1_12333,Robiginitalea_myxolifaciens_DSM_21019,Roseobacter_litoralis_Och_149,Ruegeria_pomeroyi_DSS_3,Sinomicrobium_oceani_CGMCC_1_12145,Spongiimicrobium_salis_DN50,Spongiimicrobium_salis_Da_B9,Synechococcus_sp_WH_8016,Tamlana_sedimentorum_JCM_19808,Tenacibaculum_adriaticum_DSM_18961,Tenacibaculum_mesophilum_DSM_13764,Trichodesmium_erythraeum_IMS101,Winogradskyella_arenosi_CECT_7958,Winogradskyella_eximia_CECT_7946,Winogradskyella_jejuensis_DSM_25330,Winogradskyella_sp_J14_2,Zobellia_galactanivorans_DsijT
pfam00072,Response regulator receiver domain,0.014235764,0.023598072,0.017792233,0.013885727,0.008463542,0.003586801,0.012589413,0.012507445,0.014957931,0.007753072,0.013285024,0.012179065,0.006705784,0.009044317,0.008469449,0.009798729,0.01025641,0.006581353,0.012783053,0.016669935,0.007185629,0.010743802,0.007767646,0.006554989,0.008922881,0.013249908,0.011704462,0.009490509,0.011343805,0.012112403,0.014758676,0.011313784,0.015237159,0.010553337,0.011072664,0.013663807,0.015425532,0.01447984,0.015665126,0.012087264,0.013408094,0.015169757,0.008223684,0.008718114,0.009595613,0.01219875,0.011751744,0.00254065,0.009784173,0.015015806,0.008974802,0.008957833,0.007807118,0.010745153,0.017651385,0.011819333,0.004596192,0.013413242,0.011382658,0.009807127,0.008533747,0.011988933,0.011491181,0.008030726,0.009511315,0.01402586
pfam13715,CarboxypepD_reg-like domain,0.019480519,0.000253743,0,0.015251537,0.008463542,0,0.018597997,0.019654556,0.014646307,0,0.007648953,0.011191573,0.007264599,0.009044317,0.00907441,0.016949153,0.00957265,0.006215722,0.006939372,0.016669935,0.009580838,0.016253444,0.006754475,0.013474144,0.01848311,0,0.020117045,0.018231768,0.010253054,0.012839147,0.020343039,0.014084507,0.012533792,0.009697661,0.012456747,0.013028281,0.009574468,0.012920472,0.014124294,0.017099057,0.01803998,0.01131712,0.008552632,0.006780756,0.007882111,0.012793811,0.01285347,0,0.009208633,0.017386723,0.009665171,0,0,0.024293389,0.012993381,0.009075559,0,0.016552511,0.014060931,0.016672115,0,0.011066708,0.012025655,0.008379888,0.011479173,0.025202718
pfam07715,TonB-dependent Receptor Plug Domain,0.018731269,0.015732048,0.000382629,0.014113362,0.007161458,0,0.016595136,0.017272186,0.012464942,0.000146284,0.007045089,0.009545754,0.006426376,0.007536931,0.007562008,0.016684322,0.007521368,0.008409506,0.007304602,0.017454403,0.009181637,0.015702479,0.005741304,0.013474144,0.017208413,0.011777696,0.018653987,0.016233766,0.006980803,0.009447674,0.019345832,0.013853613,0.010076186,0.007130633,0.010034602,0.010486177,0.009308511,0.013366006,0.012326656,0.015330189,0.016333496,0.01107633,0.008881579,0.007103649,0.007882111,0.012496281,0.010650018,0,0.008633094,0.015542677,0.009319986,0,0,0.024059799,0.009561167,0.008442381,0,0.016552511,0.013391363,0.015364498,0,0.010759299,0.010154997,0.00698324,0.008527386,0.023887793
pfam00005,ABC transporter,0.008741259,0.009895965,0.012052803,0.00887776,0.011393229,0.016499283,0.009728183,0.010125074,0.009348707,0.006729081,0.007850242,0.010204082,0.00838223,0.009345794,0.00907441,0.007944915,0.008888889,0.01023766,0.010591673,0.007844675,0.011576846,0.008815427,0.011144883,0.01201748,0.008922881,0.010673537,0.012435991,0.006743257,0.007635253,0.007994186,0.007578779,0.008543062,0.009093143,0.009412436,0.010034602,0.01080394,0.007978723,0.007128536,0.008217771,0.007959906,0.00901999,0.010353961,0.009539474,0.010655473,0.009252913,0.008033323,0.008446566,0.012195122,0.009208633,0.007639621,0.009319986,0.030150754,0.025717566,0.00817566,0.012012748,0.006753905,0.012147078,0.009703196,0.010043522,0.009153318,0.009115593,0.010144482,0.011758418,0.010824022,0.008527386,0.008547009
pfam02518,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",0.012737263,0.015224562,0.013774632,0.011154109,0.006184896,0.004304161,0.009728183,0.009231686,0.011530072,0.005412522,0.008454106,0.010533246,0.005308745,0.00542659,0.005444646,0.005561441,0.007521368,0.005484461,0.008765522,0.011570896,0.005189621,0.007162534,0.006079027,0.006190823,0.006054812,0.009569378,0.007681053,0.006993007,0.008726003,0.010658915,0.011567611,0.005541445,0.008847383,0.00855676,0.00899654,0.012710518,0.011170213,0.011138338,0.011299435,0.009139151,0.00828864,0.008668432,0.006578947,0.006134969,0.008567512,0.009818506,0.008446566,0.00203252,0.008345324,0.010800843,0.007594063,0.006117544,0.005740528,0.007007708,0.008090218,0.007176024,0.003282994,0.010273973,0.008034818,0.005230467,0.006788208,0.010759299,0.00828434,0.006634078,0.007871433,0.01183432
pfam12833,Helix-turn-helix domain,0.007242757,0.002537427,0.000382629,0.011837013,0.003580729,0,0.008011445,0.008338297,0.003427859,0.000438853,0.011272142,0.003949967,0.003073484,0.007235454,0.007259528,0.009798729,0.004102564,0.002193784,0.003287071,0.013139831,0.003592814,0.007988981,0.002026342,0.005098325,0.010834927,0.001840265,0.00658376,0.008491508,0.007417103,0.010658915,0.011168728,0.00646502,0.010567707,0.004563605,0.005882353,0.004766444,0.004255319,0.009578971,0.008217771,0.010318396,0.012676743,0.013725018,0.002302632,0.003228931,0.001370802,0.007735793,0.005141388,0,0.005755396,0.009483667,0.008284432,0.004369674,0.005970149,0.012847466,0.016425595,0.013929928,0.000984898,0.009417808,0.010043522,0.009480222,0,0.005533354,0.004810262,0.002793296,0.002951787,0.012491782
pfam04542,Sigma-70 region 2,0.004995005,0.004059883,0.001913143,0.007967221,0.004882813,0.00143472,0.00658083,0.006551519,0.006544095,0.001609128,0.007045089,0.005266623,0.005588153,0.006029545,0.006049607,0.01059322,0.002393162,0.001828154,0.003652301,0.005491273,0.003193613,0.005509642,0.006079027,0.006919155,0.005098789,0.00368053,0.011704462,0.006243756,0.006544503,0.00629845,0.00897487,0.011313784,0.006635537,0.005134056,0.005882353,0.006037496,0.005851064,0.006460236,0.006163328,0.007075472,0.008532423,0.009150012,0.006907895,0.004520504,0.005140507,0.007140732,0.005875872,0.00254065,0.005755396,0.004478398,0.008629617,0.001966354,0.001377727,0.012146695,0.011032116,0.008231321,0.003282994,0.007990868,0.006695681,0.006864989,0.001939488,0.005840762,0.007215393,0.007332402,0.00721548,0.007889546
pfam00535,Glycosyl transferase family 2,0.007242757,0.003044912,0.005548116,0.002959253,0.010416667,0.00286944,0.004577969,0.004764741,0.005920848,0.003949678,0.0068438,0.008887426,0.00474993,0.004522159,0.004537205,0.003972458,0.007521368,0.008043876,0.007304602,0.005295156,0.00998004,0.008539945,0.009793989,0.007283321,0.003505417,0.001472212,0.003657644,0.002747253,0.005890052,0.006056202,0.003390507,0.005541445,0.006881298,0.007986309,0.010726644,0.007944074,0.004521277,0.002673201,0.005136107,0.005011792,0.002925402,0.003130267,0.003947368,0.007749435,0.009252913,0.004462957,0.004774146,0.006097561,0.010647482,0.007376185,0.006213324,0.001966354,0.000688863,0.002102313,0.00392253,0.003165893,0.003282994,0.009417808,0.003682625,0.001961425,0.006206362,0.008300031,0.00748263,0.00872905,0.00819941,0.004383081
pfam00593,TonB dependent receptor,0.01048951,0.009642223,0.000382629,0.008650125,0.002929688,0,0.008869814,0.010720667,0.0052976,0,0.002214171,0.004608295,0.003352892,0.00331625,0.003629764,0.007680085,0.004786325,0.002559415,0.002191381,0.010001961,0.003592814,0.008264463,0.001688619,0.006190823,0.008922881,0.008097166,0.008412582,0.010739261,0.002835951,0.004360465,0.011168728,0.005541445,0.004177931,0.003422704,0.00449827,0.004448681,0.003989362,0.009578971,0.005649718,0.007370283,0.00901999,0.004093426,0.002631579,0.003228931,0.003769705,0.004760488,0.005141388,0,0.004316547,0.008166491,0.003451847,0,0,0.013781827,0.004412846,0.004643309,0,0.008561644,0.006026113,0.005230467,0,0.005533354,0.005344735,0.00349162,0.00360774,0.01293009
pfam00512,His Kinase A (phospho-acceptor) domain,0.008241758,0.010910936,0.012435431,0.006829046,0.002604167,0.00286944,0.004864092,0.004466945,0.005609224,0.003657109,0.003824477,0.007241606,0.002235261,0.002411818,0.002419843,0.002913136,0.005811966,0.002925046,0.004747991,0.007256325,0.003592814,0.004407713,0.003377237,0.003641661,0.003186743,0.004784689,0.004389173,0.004745255,0.005017452,0.006540698,0.006781013,0.003001616,0.00393217,0.004563605,0.005536332,0.008897363,0.006382979,0.007128536,0.005392912,0.004716981,0.003900536,0.003852637,0.003289474,0.002583145,0.005140507,0.004165427,0.004774146,0.00101626,0.004316547,0.00711275,0.003106662,0.004588158,0.003673938,0.005138986,0.004167688,0.003799071,0.001641497,0.005136986,0.004017409,0.002615234,0.005624515,0.006148171,0.004543025,0.003142458,0.00360774,0.006355468
